6.129879999999999285e+01,6.238142999999999461e+01,2.866779000000000011e+01,2.522614000000000090e+01,3.597272000000000247e+01,3.154344000000000392e+01,5.046865999999999985e+01,1.854419000000000040e+01,1.887468000000000146e+01,5.388750999999999891e+01,4.234320000000000306e+01
5.514106000000000307e+01,4.386655999999999977e+01,3.122057000000000215e+01,3.240198999999999785e+01,2.589097999999999900e+01,2.228978000000000037e+01,4.315620000000000545e+01,2.151864000000000132e+01,2.084245999999999910e+01,5.713173000000000457e+01,4.370693999999999591e+01
5.677069000000000187e+01,4.819710000000000605e+01,4.893411999999999296e+01,3.476865000000000094e+01,2.777517999999999887e+01,3.572592999999999819e+01,4.484290000000000020e+01,1.957372000000000156e+01,2.267727999999999966e+01,5.110316000000000258e+01,4.449707000000000079e+01
5.381150999999999840e+01,6.642340000000000089e+01,4.141261000000000081e+01,4.352477000000000373e+01,2.516927000000000092e+01,3.819134999999999991e+01,4.258268999999999949e+01,1.998020999999999958e+01,2.399164000000000385e+01,5.141465999999999781e+01,4.225583000000000311e+01
2.809414999999999907e+01,6.066449000000000069e+01,5.488671000000000078e+01,4.061874000000000251e+01,5.812715999999999639e+01,5.338249999999999318e+01,2.247978999999999772e+01,1.958513999999999911e+01,2.458044999999999902e+01,5.076126000000000005e+01,4.060338000000000136e+01
1.839983000000000146e+01,5.002808000000000277e+01,3.652743999999999858e+01,4.146202999999999861e+01,5.995815999999999946e+01,6.209306000000000125e+01,2.069818000000000069e+01,1.729830000000000112e+01,1.990041000000000082e+01,4.835667000000000115e+01,4.372975999999999885e+01
1.990412000000000248e+01,4.306501000000000090e+01,5.948320000000000363e+01,3.861679000000000173e+01,4.790474000000000387e+01,4.320192999999999728e+01,3.656931999999999761e+01,2.014735999999999905e+01,2.004856999999999800e+01,4.700432000000000698e+01,7.101980000000000359e+01
2.730022999999999911e+01,5.211355999999999966e+01,4.958748000000000644e+01,3.325677999999999912e+01,3.782289000000000101e+01,3.622741999999999507e+01,4.704622000000000526e+01,2.042846000000000117e+01,2.175420000000000087e+01,5.662271000000000498e+01,8.649577999999999633e+01
3.355671999999999855e+01,5.658465999999999951e+01,6.104446000000000083e+01,3.507638000000000034e+01,2.987211000000000283e+01,3.801279000000000252e+01,5.167303000000000424e+01,2.526801999999999992e+01,2.180737999999999843e+01,1.159056999999999960e+02,1.182949999999999875e+02
3.889771999999999963e+01,6.138624999999999687e+01,5.903873000000000104e+01,2.861849000000000132e+01,3.249319000000000557e+01,2.930225000000000080e+01,4.687901999999999703e+01,2.132491000000000270e+01,2.013211000000000084e+01,5.727608000000000743e+01,1.513513999999999839e+02
4.525298000000000087e+01,5.255801999999999907e+01,4.939749000000000478e+01,3.540294000000000096e+01,3.975629999999999598e+01,3.152064999999999984e+01,5.143738000000000454e+01,2.213019999999999854e+01,1.947491000000000128e+01,4.602799000000000262e+01,1.284489000000000090e+02
